schema_id,entity_id,attribute_name,business_definition,data_type,required,derived,derived_from,default_value,validation_rule,reference_catalog,collection_source,privacy_class,example_value,ai_importance,remarks
SCH-INS-000017,ENT-INS-000002,cashless_repair_network,Availability of cashless repair services.,Boolean,Yes,No,,,,,Insurance Company,Public,True,High,
SCH-INS-000018,ENT-INS-000003,policy_type,Classification of the insurance policy.,Enumeration,Yes,No,,,Reference Integrity,Policy Type Master,Insurance Company,Internal,Comprehensive,Critical,
SCH-INS-000019,ENT-INS-000003,policy_duration,Duration for which the policy remains valid.,Integer,Yes,No,,,Positive Number,,Insurance Company,Internal,1,Critical,
SCH-INS-000020,ENT-INS-000003,policy_start_rule,Business rule governing policy commencement.,String,Yes,No,,,,,Insurance Company,Internal,Immediate,Medium,
SCH-INS-000021,ENT-INS-000003,policy_renewal_rule,Business rule governing renewals.,String,Yes,No,,,,,Insurance Company,Internal,Annual Renewal,Medium,
SCH-INS-000022,ENT-INS-000003,waiting_period,Waiting period before specified benefits become active.,Integer,No,No,,,Non-negative Number,,Insurance Company,Internal,0,Low,
SCH-INS-000023,ENT-INS-000003,cooling_off_period,Cooling-off period during which cancellation is permitted.,Integer,No,No,,,Positive Number,,Regulatory,Internal,15,Low,
SCH-INS-000024,ENT-INS-000003,cancellation_rule,Business rule governing policy cancellation.,String,Yes,No,,,,,Insurance Company,Internal,Pro-rata Refund,Medium,
SCH-INS-000025,ENT-INS-000003,policy_renewal_eligibility,Indicates whether the policy is eligible for renewal.,Boolean,Yes,Yes,policy_status,,Domain Constraint,,Derived,Internal,True,High,
SCH-INS-000026,ENT-INS-000003,policy_portability,Indicates whether the product supports portability.,Boolean,Yes,No,,,,,Regulatory,Internal,True,Medium,
SCH-INS-000027,ENT-INS-000004,coverage_type,Classification of coverage provided by the insurance product.,Enumeration,Yes,No,,,Reference Integrity,Coverage Type Master,Insurance Company,Internal,Own Damage,Critical,
SCH-INS-000028,ENT-INS-000004,coverage_scope,Description of the risks protected by the coverage package.,Text,Yes,No,,,,,Insurance Company,Public,Accident and Theft Protection,High,
SCH-INS-000029,ENT-INS-000004,coverage_limit,Maximum payable amount under the coverage.,Decimal,Yes,No,,,Positive Number,,Insurance Company,Internal,1000000,Critical,
SCH-INS-000030,ENT-INS-000004,coverage_territory,Geographical territory where coverage applies.,Enumeration,Yes,No,,,Reference Integrity,Country Master,Insurance Company,Internal,India,Medium,
SCH-INS-000031,ENT-INS-000004,mandatory_coverage,Indicates whether the coverage is mandatory.,Boolean,Yes,No,,,,,Regulatory,Internal,True,Medium,
SCH-INS-000032,ENT-INS-000004,optional_coverage,Indicates whether optional coverage selection is available.,Boolean,Yes,No,,,,,Insurance Company,Internal,True,Medium,
SCH-INS-000033,ENT-INS-000004,coverage_conditions,Business conditions governing the coverage.,Text,Yes,No,,,,,Insurance Company,Internal,As per policy wording,Medium,
SCH-INS-000034,ENT-INS-000004,coverage_priority,Business priority assigned to the coverage.,Enumeration,Yes,Yes,coverage_type,,Reference Integrity,Coverage Priority Master,Derived,Internal,Primary,Medium,
SCH-INS-000035,ENT-INS-000004,coverage_summary,Human-readable summary of the coverage package.,Text,Yes,Yes,coverage_scope,,Domain Constraint,,Derived,Public,Comprehensive protection against major risks.,Medium,
SCH-INS-000036,ENT-INS-000004,deductible_type,Classification of deductible applicable to the policy.,Enumeration,Yes,No,,,Reference Integrity,Deductible Type Master,Insurance Company,Internal,Compulsory,High,
SCH-INS-000037,ENT-INS-000004,compulsory_deductible,Mandatory deductible amount applicable during claim settlement.,Decimal,Yes,No,,,Positive Number,,Insurance Company,Internal,1000,Critical,
SCH-INS-000038,ENT-INS-000004,voluntary_deductible,Optional deductible selected by the customer.,Decimal,No,No,,,Positive Number,,User Input,Internal,5000,Medium,
SCH-INS-000039,ENT-INS-000004,total_deductible,Total deductible applicable to the policy.,Decimal,Yes,Yes,compulsory_deductible;voluntary_deductible,,Positive Number,,Derived,Internal,6000,Critical,
SCH-INS-000040,ENT-INS-000004,deductible_applicability,Defines situations where deductibles are applied.,Text,Yes,No,,,,,Insurance Company,Internal,Own Damage Claims,Medium,
SCH-INS-000041,ENT-INS-000004,deductible_waiver,Indicates whether deductible waiver benefits are available.,Boolean,No,No,,,,,Insurance Company,Internal,True,Medium,
SCH-INS-000042,ENT-INS-000004,addon_name,Official name of the add-on coverage.,String,No,No,,,,,Insurance Company,Public,Engine Protect,High,
SCH-INS-000043,ENT-INS-000004,addon_category,Classification of the add-on coverage.,Enumeration,No,No,,,Reference Integrity,Add-on Category Master,Insurance Company,Internal,Damage Protection,Medium,
SCH-INS-000044,ENT-INS-000004,addon_premium,Premium charged for the selected add-on.,Decimal,No,No,,,Positive Number,,Insurance Company,Internal,1800,Medium,
SCH-INS-000045,ENT-INS-000004,addon_eligibility,Business rules determining add-on eligibility.,Text,No,No,,,,,Insurance Company,Internal,Vehicle Age < 5 Years,Medium,
SCH-INS-000046,ENT-INS-000004,addon_coverage_scope,Risks covered by the selected add-on.,Text,No,No,,,,,Insurance Company,Public,Water Ingress Protection,Medium,
SCH-INS-000047,ENT-INS-000004,addon_popularity,Relative popularity of the add-on among customers.,Enumeration,No,No,,,Reference Integrity,Popularity Level Master,Analytics,Internal,High,Low,
SCH-INS-000048,ENT-INS-000004,recommended_addon,Indicates whether the add-on is recommended by the AI engine.,Boolean,No,Yes,recommendation_engine,,Domain Constraint,,AI Generated,Internal,True,High,
SCH-INS-000049,ENT-INS-000004,exclusion_category,Classification of policy exclusions.,Enumeration,Yes,No,,,Reference Integrity,Exclusion Category Master,Insurance Company,Internal,Driver Behaviour,High,
SCH-INS-000050,ENT-INS-000004,mandatory_exclusion,Indicates whether the exclusion is required by regulation.,Boolean,Yes,No,,,,,Regulatory,Internal,True,Medium,
SCH-INS-000051,ENT-INS-000004,optional_exclusion,Indicates whether the exclusion is insurer-specific.,Boolean,Yes,No,,,,,Insurance Company,Internal,False,Medium,
SCH-INS-000052,ENT-INS-000004,exclusion_severity,Business severity assigned to the exclusion.,Enumeration,Yes,Yes,exclusion_category,,Reference Integrity,Severity Level Master,Derived,Internal,High,Medium,
SCH-INS-000053,ENT-INS-000004,exclusion_summary,Simplified explanation of policy exclusions.,Text,Yes,Yes,exclusion_category,,Domain Constraint,,Derived,Public,Claims during intoxicated driving are excluded.,Medium,
SCH-INS-000054,ENT-INS-000005,base_premium,Premium before discounts or loading.,Decimal,Yes,No,,,Positive Number,,Insurance Company,Confidential,18500,Critical,
SCH-INS-000055,ENT-INS-000005,premium_frequency,Frequency of premium payment.,Enumeration,Yes,No,,,Reference Integrity,Premium Frequency Master,Insurance Company,Internal,Annual,Medium,
SCH-INS-000056,ENT-INS-000005,premium_calculation_method,Business methodology used for premium calculation.,Enumeration,Yes,No,,,Reference Integrity,Premium Method Master,Insurance Company,Internal,Risk Based,High,
SCH-INS-000057,ENT-INS-000005,premium_loading,Additional premium applied because of increased risk.,Decimal,Yes,Yes,risk_assessment,,Positive Number,,Derived,Confidential,2000,High,
SCH-INS-000058,ENT-INS-000005,premium_discount,Premium discount applied due to eligibility or offers.,Decimal,Yes,Yes,discount_rules,,Positive Number,,Derived,Confidential,1500,High,
SCH-INS-000059,ENT-INS-000005,net_premium,Premium after applying loading and discounts but before taxes.,Decimal,Yes,Yes,base_premium;premium_loading;premium_discount,,Positive Number,,Derived,Confidential,19000,Critical,
SCH-INS-000060,ENT-INS-000005,gross_premium,Final premium payable including taxes.,Decimal,Yes,Yes,net_premium,,Positive Number,,Derived,Confidential,22420,Critical,
SCH-INS-000061,ENT-INS-000006,minimum_driver_age,Minimum driver age required for product eligibility.,Integer,Yes,No,,,Positive Number,,Insurance Company,Internal,18,High,
SCH-INS-000062,ENT-INS-000006,maximum_driver_age,Maximum driver age permitted.,Integer,No,No,,,Positive Number,,Insurance Company,Internal,80,High,
SCH-INS-000063,ENT-INS-000006,eligible_vehicle_category,Vehicle categories eligible for the insurance product.,Enumeration,Yes,No,,,Reference Integrity,Vehicle Category Master,Insurance Company,Internal,Private Car,Critical,
SCH-INS-000064,ENT-INS-000006,maximum_vehicle_age,Maximum vehicle age accepted by the insurer.,Integer,Yes,No,,,Positive Number,,Insurance Company,Internal,15,Critical,
SCH-INS-000065,ENT-INS-000006,eligible_registration_region,Geographic regions where the product is available.,Enumeration,Yes,No,,,Reference Integrity,State Master,Insurance Company,Internal,India,Medium,
SCH-INS-000066,ENT-INS-000006,required_documents,Documents required before policy issuance.,String,Yes,No,,,,,Insurance Company,Internal,"RC, Driving Licence, Previous Policy",High,
SCH-INS-000067,ENT-INS-000006,eligibility_decision,Final eligibility decision for the product.,Boolean,Yes,Yes,eligibility_engine,,Domain Constraint,,Derived,Internal,True,Critical,
SCH-INS-000068,ENT-INS-000006,eligibility_reason,Business explanation supporting the eligibility decision.,Text,Yes,Yes,eligibility_decision,,Domain Constraint,,Derived,Internal,Vehicle and driver satisfy all eligibility rules.,High,
SCH-INS-000069,ENT-INS-000006,underwriting_decision,Final underwriting decision for the insurance application.,Enumeration,Yes,Yes,underwriting_engine,,Reference Integrity,Underwriting Decision Master,Derived,Internal,Accepted,Critical,
SCH-INS-000070,ENT-INS-000006,underwriting_summary,Human-readable explanation of the underwriting decision.,Text,Yes,Yes,underwriting_decision,,Domain Constraint,,Derived,Internal,Accepted with standard terms.,Medium,
SCH-INS-000071,ENT-INS-000007,launch_date,Date on which the insurance product became available for sale.,Date,Yes,No,,,ISO Date,,Insurance Company,Internal,2025-04-01,Low,
SCH-INS-000072,ENT-INS-000007,product_availability,Indicates whether the product is currently available for purchase.,Boolean,Yes,Yes,insurance_product_status,,Domain Constraint,,Derived,Internal,True,High,
SCH-INS-000073,ENT-INS-000007,product_revision,Current revision identifier of the insurance product.,String,Yes,No,,,Required,,Internal System,Internal,v1.2,Low,
SCH-INS-000074,ENT-INS-000007,retirement_date,Date on which the insurance product will be withdrawn from sale.,Date,No,No,,,ISO Date,,Insurance Company,Internal,2032-03-31,Low,
SCH-INS-000075,ENT-INS-000007,lifecycle_status,Current lifecycle classification of the product.,Enumeration,Yes,Yes,launch_date;retirement_date,,Reference Integrity,Workflow Status Master,Derived,Internal,Active,Critical,
SCH-INS-000076,ENT-INS-000007,successor_product,Insurance product intended to replace the current product after retirement.,String,No,No,,,,,Insurance Company,Internal,Motor Comprehensive Plus,Medium,
SCH-INS-000077,ENT-INS-000007,renewal_eligibility,Indicates whether existing policies may be renewed using this product.,Boolean,Yes,Yes,policy_renewal_rule,,Domain Constraint,,Derived,Internal,True,Critical,
SCH-INS-000078,ENT-INS-000007,renewal_premium,Premium applicable during renewal.,Decimal,Yes,Yes,base_premium;premium_loading;premium_discount,,Positive Number,,Derived,Confidential,19850,Critical,
SCH-INS-000079,ENT-INS-000007,renewal_discount,Discount offered during policy renewal.,Decimal,No,Yes,no_claim_bonus,,Positive Number,,Derived,Confidential,1200,Medium,
SCH-INS-000080,ENT-INS-000007,renewal_window,Allowed renewal period before or after expiry.,Integer,Yes,No,,,Positive Number,,Insurance Company,Internal,30,Medium,
SCH-INS-000081,ENT-INS-000007,renewal_reminder_schedule,Configured schedule for renewal reminders.,String,No,No,,,,,Insurance Company,Internal,15 Days Before Expiry,Low,
SCH-INS-000082,ENT-INS-000007,lapsed_policy_indicator,Indicates whether the product has entered a lapsed renewal state.,Boolean,Yes,Yes,renewal_window,,Domain Constraint,,Derived,Internal,False,Medium,
SCH-INS-000083,ENT-INS-000008,product_risk_score,Composite insurance risk score associated with the insurance product.,Decimal,Yes,Yes,underwriting_decision;claim_settlement_ratio,,Value Range,,AI Generated,Internal,26.40,Critical,
SCH-INS-000084,ENT-INS-000008,product_value_score,Composite score representing value delivered by the insurance product.,Decimal,Yes,Yes,coverage_limit;gross_premium,,Value Range,,AI Generated,Internal,91.80,Critical,
SCH-INS-000085,ENT-INS-000008,recommendation_score,Overall score generated by the recommendation engine.,Decimal,Yes,Yes,customer_profile;driver_profile;vehicle_profile;product_value_score,,Value Range,,AI Generated,Internal,94.50,Critical,
SCH-INS-000086,ENT-INS-000008,recommendation_rank,Relative ranking of the insurance product among all candidate products.,Integer,Yes,Yes,recommendation_score,,Positive Number,,AI Generated,Internal,1,High,
SCH-INS-000087,ENT-INS-000008,recommendation_confidence,Confidence associated with the generated recommendation.,Decimal,Yes,Yes,recommendation_engine,,Percentage Range,,AI Generated,Internal,96.20,High,
SCH-INS-000088,ENT-INS-000008,suitability_score,Composite score representing suitability of the insurance product for a customer.,Decimal,Yes,Yes,eligibility_decision;coverage_limit;gross_premium,,Value Range,,AI Generated,Internal,92.10,Critical,
SCH-INS-000089,ENT-INS-000008,competitive_score,Relative competitiveness of the insurance product compared with similar products.,Decimal,No,Yes,market_comparison_engine,,Value Range,,AI Generated,Internal,88.30,Medium,
SCH-INS-000090,ENT-INS-000008,product_trust_score,Composite trust score assigned to the insurance product.,Decimal,Yes,Yes,insurance_company_rating;claim_settlement_ratio,,Value Range,,AI Generated,Internal,95.60,High,
SCH-INS-000091,ENT-INS-000008,preferred_customer_segment,Customer segment for which the product is most suitable.,Enumeration,Yes,Yes,recommendation_engine,,Reference Integrity,Customer Segment Master,AI Generated,Internal,Urban Families,High,
SCH-INS-000092,ENT-INS-000008,preferred_vehicle_segment,Vehicle segment for which the product is optimized.,Enumeration,Yes,Yes,recommendation_engine,,Reference Integrity,Vehicle Segment Master,AI Generated,Internal,Compact SUV,High,
SCH-INS-000093,ENT-INS-000008,next_best_alternative,Alternative insurance product recommended when this product is not selected.,String,No,Yes,recommendation_engine,,Domain Constraint,,AI Generated,Internal,Motor Secure Plus,Medium,
SCH-INS-000094,ENT-INS-000008,assessment_date,Date and time at which the latest product assessment was generated.,DateTime,Yes,Yes,assessment_pipeline,,ISO DateTime,,Internal System,Internal,2026-07-01T10:30:00,Low,
SCH-INS-000095,ENT-INS-000008,assessment_version,Version of the assessment methodology used to generate the product assessment.,String,Yes,No,,,Required,,Internal System,Internal,1.0.0,Low,
SCH-INS-000096,ENT-INS-000008,assessment_status,Current execution status of the assessment pipeline.,Enumeration,Yes,Yes,assessment_pipeline,,Reference Integrity,Workflow Status Master,Derived,Internal,Completed,Medium,
SCH-INS-000097,ENT-INS-000008,assessment_remarks,Additional remarks associated with the latest assessment.,Text,No,No,,,,,Internal System,Internal,Excellent value product with broad coverage.,Low,
SCH-INS-000098,ENT-INS-000008,recommendation_summary,Natural-language explanation describing why the product is recommended.,Text,Yes,Yes,recommendation_score;suitability_score,,Domain Constraint,,AI Generated,Public,Best balance of premium, coverage and claim settlement ratio.,Critical,
SCH-INS-000099,ENT-INS-000008,explainability_summary,Structured explanation of the factors influencing recommendation and ranking.,Text,Yes,Yes,recommendation_engine,,Domain Constraint,,AI Generated,Internal,High coverage with competitive premium and strong insurer reliability.,High,
SCH-INS-000100,ENT-INS-000008,last_assessment_timestamp,Timestamp representing the latest successful product assessment execution.,DateTime,Yes,Yes,assessment_pipeline,,ISO DateTime,,Internal System,Internal,2026-07-01T10:30:00,Low,
