schema_id,entity_id,attribute_name,business_definition,data_type,required,derived,derived_from,default_value,validation_rule,reference_catalog,collection_source,privacy_class,example_value,ai_importance,remarks
SCH-COV-000025,ENT-COV-000003,limit_summary,Simplified explanation of coverage limits.,Text,Yes,Yes,maximum_claim_amount,,Domain Constraint,,Derived,Public,Up to ₹10 lakh coverage.,Medium,
SCH-COV-000026,ENT-COV-000004,condition_type,Classification of coverage condition.,Enumeration,Yes,No,,,Reference Integrity,Condition Type Master,Business,Internal,Eligibility,Critical,
SCH-COV-000027,ENT-COV-000004,condition_description,Business description of the condition.,Text,Yes,No,,,,,Business,Public,Vehicle must be roadworthy.,High,
SCH-COV-000028,ENT-COV-000004,mandatory_condition,Indicates whether the condition is mandatory.,Boolean,Yes,No,,,,,Business,Internal,True,High,
SCH-COV-000029,ENT-COV-000004,condition_verification,Verification status of the condition.,Boolean,Yes,Yes,supporting_documents,,Domain Constraint,,Derived,Internal,True,High,
SCH-COV-000030,ENT-COV-000004,condition_summary,Simplified explanation of the condition.,Text,Yes,Yes,condition_description,,Domain Constraint,,Derived,Public,Valid licence required.,Medium,
SCH-COV-000031,ENT-COV-000005,minimum_vehicle_age,Minimum eligible vehicle age.,Integer,No,No,,,Positive Number,,Business,Internal,0,Medium,
SCH-COV-000032,ENT-COV-000005,maximum_vehicle_age,Maximum eligible vehicle age.,Integer,Yes,No,,,Positive Number,,Business,Internal,10,Critical,
SCH-COV-000033,ENT-COV-000005,minimum_driver_age,Minimum eligible driver age.,Integer,Yes,No,,,Positive Number,,Business,Internal,18,Medium,
SCH-COV-000034,ENT-COV-000005,maximum_driver_age,Maximum eligible driver age.,Integer,No,No,,,Positive Number,,Business,Internal,80,Medium,
SCH-COV-000035,ENT-COV-000005,eligibility_decision,Final eligibility decision.,Boolean,Yes,Yes,eligibility_rules,,Domain Constraint,,Derived,Internal,True,Critical,
SCH-COV-000036,ENT-COV-000005,eligibility_reason,Business explanation supporting eligibility.,Text,Yes,Yes,eligibility_decision,,Domain Constraint,,Derived,Public,Vehicle satisfies eligibility rules.,High,
SCH-COV-000037,ENT-COV-000006,exclusion_name,Official name of the exclusion.,String,Yes,No,,,Required,,Business,Public,Driving Under Influence,Critical,
SCH-COV-000038,ENT-COV-000006,exclusion_category,Classification of exclusion.,Enumeration,Yes,No,,,Reference Integrity,Exclusion Category Master,Business,Internal,Driver Behaviour,High,
SCH-COV-000039,ENT-COV-000006,mandatory_exclusion,Indicates regulatory exclusion.,Boolean,Yes,No,,,,,Regulatory,Internal,True,Medium,
SCH-COV-000040,ENT-COV-000006,exclusion_summary,Simplified explanation of exclusion.,Text,Yes,Yes,exclusion_description,,Domain Constraint,,Derived,Public,Driving under influence excluded.,Medium,
SCH-COV-000041,ENT-COV-000007,deductible_type,Classification of deductible.,Enumeration,Yes,No,,,Reference Integrity,Deductible Type Master,Business,Internal,Compulsory,Critical,
SCH-COV-000042,ENT-COV-000007,compulsory_deductible,Mandatory deductible amount.,Decimal,Yes,No,,,Positive Number,,Business,Internal,1000,Critical,
SCH-COV-000043,ENT-COV-000007,voluntary_deductible,Optional deductible selected by customer.,Decimal,No,No,,,Positive Number,,User Input,Internal,5000,Medium,
SCH-COV-000044,ENT-COV-000007,total_deductible,Combined deductible amount.,Decimal,Yes,Yes,compulsory_deductible;voluntary_deductible,,Positive Number,,Derived,Internal,6000,Critical,
SCH-COV-000045,ENT-COV-000007,deductible_summary,Simplified explanation of deductible.,Text,Yes,Yes,total_deductible,,Domain Constraint,,Derived,Public,Standard deductible applies.,Medium,
SCH-COV-000046,ENT-COV-000008,launch_date,Date on which the canonical coverage became available.,Date,Yes,No,,,ISO Date,,Business,Internal,2025-04-01,Low,
SCH-COV-000047,ENT-COV-000008,availability_status,Indicates whether the coverage is currently available.,Boolean,Yes,Yes,coverage_status,,Domain Constraint,,Derived,Internal,True,High,
SCH-COV-000048,ENT-COV-000008,coverage_revision,Current revision identifier of the coverage.,String,Yes,No,,,Required,,Internal System,Internal,v1.1,Low,
SCH-COV-000049,ENT-COV-000008,retirement_date,Date on which the coverage will be retired.,Date,No,No,,,ISO Date,,Business,Internal,2032-03-31,Low,
SCH-COV-000050,ENT-COV-000008,lifecycle_status,Current lifecycle classification of the coverage.,Enumeration,Yes,Yes,launch_date;retirement_date,,Reference Integrity,Workflow Status Master,Derived,Internal,Active,Critical,
SCH-COV-000051,ENT-COV-000008,replacement_coverage,Coverage replacing the retired coverage.,String,No,No,,,,,Business,Internal,Enhanced Own Damage,Medium,
SCH-COV-000052,ENT-COV-000008,backward_compatibility,Indicates whether older policy versions may continue using the coverage.,Boolean,Yes,No,,,,,Business,Internal,True,Medium,
SCH-COV-000053,ENT-COV-000008,deprecation_reason,Business reason for retiring the coverage.,String,No,No,,,,,Business,Internal,Regulatory Revision,Low,
SCH-COV-000054,ENT-COV-000009,coverage_risk_score,Composite insurance risk score assigned to the coverage.,Decimal,Yes,Yes,claims_history;actuarial_models,,Value Range,,AI Generated,Internal,34.20,Critical,
SCH-COV-000055,ENT-COV-000009,coverage_value_score,Composite value score representing benefits delivered by the coverage.,Decimal,Yes,Yes,benefit_catalog;coverage_limit,,Value Range,,AI Generated,Internal,92.10,Critical,
SCH-COV-000056,ENT-COV-000009,coverage_popularity,Relative popularity of the coverage across insurance products.,Enumeration,No,No,,,Reference Integrity,Popularity Level Master,Analytics,Internal,High,Medium,
SCH-COV-000057,ENT-COV-000009,coverage_utilization,Frequency with which the coverage is utilized in claims.,Enumeration,No,No,,,Reference Integrity,Utilization Level Master,Analytics,Internal,Medium,Medium,
SCH-COV-000058,ENT-COV-000009,coverage_recommendation_score,Overall recommendation score generated by the recommendation engine.,Decimal,Yes,Yes,recommendation_engine,,Value Range,,AI Generated,Internal,94.60,Critical,
SCH-COV-000059,ENT-COV-000009,coverage_recommendation_rank,Relative ranking of the coverage among candidate coverages.,Integer,Yes,Yes,coverage_recommendation_score,,Positive Number,,AI Generated,Internal,1,High,
SCH-COV-000060,ENT-COV-000009,coverage_recommendation_confidence,Confidence associated with the generated recommendation.,Decimal,Yes,Yes,recommendation_engine,,Percentage Range,,AI Generated,Internal,97.40,High,
SCH-COV-000061,ENT-COV-000009,coverage_suitability_score,Composite suitability score for a specific customer profile.,Decimal,Yes,Yes,eligibility_engine;benefit_engine,,Value Range,,AI Generated,Internal,93.50,Critical,
SCH-COV-000062,ENT-COV-000009,coverage_trust_score,Composite trust score assigned to the canonical coverage.,Decimal,Yes,Yes,claims_statistics,,Value Range,,AI Generated,Internal,96.80,High,
SCH-COV-000063,ENT-COV-000009,preferred_customer_segment,Customer segment best suited for the coverage.,Enumeration,Yes,Yes,recommendation_engine,,Reference Integrity,Customer Segment Master,AI Generated,Internal,Urban Families,High,
SCH-COV-000064,ENT-COV-000009,preferred_vehicle_segment,Vehicle segment best suited for the coverage.,Enumeration,Yes,Yes,recommendation_engine,,Reference Integrity,Vehicle Segment Master,AI Generated,Internal,Compact SUV,High,
SCH-COV-000065,ENT-COV-000009,preferred_driver_segment,Driver segment best suited for the coverage.,Enumeration,Yes,Yes,recommendation_engine,,Reference Integrity,Driver Segment Master,AI Generated,Internal,Experienced Driver,High,
SCH-COV-000066,ENT-COV-000009,alternative_coverage,Canonical coverage recommended when this coverage is unsuitable.,String,No,Yes,recommendation_engine,,Domain Constraint,,AI Generated,Internal,Third Party Liability,Medium,
SCH-COV-000067,ENT-COV-000009,recommendation_summary,Natural-language explanation describing why the coverage is recommended.,Text,Yes,Yes,coverage_recommendation_score;coverage_suitability_score,,Domain Constraint,,AI Generated,Public,Recommended because it offers excellent protection with high customer suitability.,Critical,
SCH-COV-000068,ENT-COV-000009,assessment_date,Date and time of the latest coverage assessment.,DateTime,Yes,Yes,assessment_pipeline,,ISO DateTime,,Internal System,Internal,2026-07-01T10:30:00,Low,
SCH-COV-000069,ENT-COV-000009,assessment_version,Version of the assessment methodology.,String,Yes,No,,,Required,,Internal System,Internal,1.0.0,Low,
SCH-COV-000070,ENT-COV-000009,assessment_status,Execution status of the assessment pipeline.,Enumeration,Yes,Yes,assessment_pipeline,,Reference Integrity,Workflow Status Master,Derived,Internal,Completed,Medium,
SCH-COV-000071,ENT-COV-000009,assessment_remarks,Additional remarks associated with the latest assessment.,Text,No,No,,,,,Internal System,Internal,Highly recommended coverage for urban private vehicles.,Low,
SCH-COV-000072,ENT-COV-000009,explainability_summary,Structured explanation of recommendation factors.,Text,Yes,Yes,recommendation_engine,,Domain Constraint,,AI Generated,Internal,High benefit-to-cost ratio with excellent applicability.,High,
SCH-COV-000073,ENT-COV-000010,relationship_type,Classification of relationship between two coverages.,Enumeration,Yes,No,,,Reference Integrity,Coverage Relationship Type Master,Business,Internal,Depends On,Critical,
SCH-COV-000074,ENT-COV-000010,source_coverage_identifier,Identifier of the originating canonical coverage.,Identifier,Yes,No,,,Reference Integrity,Coverage Identifier Master,Business,Internal,COV-100001,Critical,
SCH-COV-000075,ENT-COV-000010,target_coverage_identifier,Identifier of the related canonical coverage.,Identifier,Yes,No,,,Reference Integrity,Coverage Identifier Master,Business,Internal,COV-100014,Critical,
SCH-COV-000076,ENT-COV-000010,relationship_strength,Relative strength of the relationship.,Decimal,No,Yes,relationship_engine,,Value Range,,AI Generated,Internal,0.92,Medium,
SCH-COV-000077,ENT-COV-000010,business_justification,Business explanation supporting the relationship.,Text,Yes,No,,,,,Business,Public,Engine Protect requires Own Damage coverage.,High,
SCH-COV-000078,ENT-COV-000010,bundle_indicator,Indicates whether both coverages belong to the same reusable bundle.,Boolean,Yes,No,,,,,Business,Internal,True,Medium,
SCH-COV-000079,ENT-COV-000010,bundle_name,Name of the reusable coverage bundle.,String,No,No,,,,,Business,Public,Premium Protection Pack,Medium,
SCH-COV-000080,ENT-COV-000010,relationship_status,Operational status of the relationship.,Enumeration,Yes,Yes,relationship_validation,,Reference Integrity,Workflow Status Master,Derived,Internal,Active,Medium,

