term_id,term,business_definition,category
CTX-087,Recommendation Confidence,Confidence associated with a recommendation.,Decision
CTX-088,Business Rule Trigger,Rule causing recommendation generation.,Decision
CTX-089,Recommendation Score,Normalized recommendation strength.,Decision
CTX-090,Alert,Notification requiring attention.,Decision
CTX-091,Warning,Potential issue requiring monitoring.,Decision
CTX-092,Critical Condition,High-severity contextual state.,Decision
CTX-093,Decision Threshold,Minimum score required to trigger an action.,Decision
CTX-094,Scenario,Hypothetical or observed contextual situation.,Decision
CTX-095,Scenario Analysis,Evaluation of alternative contextual situations.,Decision
CTX-096,Decision Trace,Traceable reasoning chain behind a decision.,Decision
CTX-097,Evidence Chain,Linked evidence supporting intelligence.,Decision
CTX-098,Knowledge Chain,Sequence of dependent contextual relationships.,Decision
CTX-099,Recommendation Policy,Business policy governing recommendation generation.,Decision
CTX-100,Context Graph,Graph representation of contextual relationships.,Decision
