glossary_id,canonical_term,business_definition,domain,concept_category,semantic_class,lifecycle,parent_concept,derived_from,aliases,example,source,remarks
GLOSS-DRVR-000025,Gender,Gender of the driver.,Driver,Profile,User Provided,Stable,Driver Profile,,Sex,Male,Business,References Gender Master.
GLOSS-DRVR-000026,Marital Status,Current marital status of the driver.,Driver,Profile,User Provided,Dynamic,Driver Profile,,Civil Status,Married,Business,References Marital Status Master.
GLOSS-DRVR-000027,Occupation,Primary occupation of the driver.,Driver,Profile,User Provided,Dynamic,Driver Profile,,Profession,Software Engineer,Business,References Occupation Master.
GLOSS-DRVR-000028,Employment Status,Current employment status of the driver.,Driver,Profile,User Provided,Dynamic,Driver Profile,,Employment,Employed,Business,Supports risk profiling.
GLOSS-DRVR-000029,Education Level,Highest education completed by the driver.,Driver,Profile,User Provided,Dynamic,Driver Profile,,Qualification,Bachelor's Degree,Business,References Education Level Master.
GLOSS-DRVR-000030,Residential Location,Primary area in which the driver resides.,Driver,Profile,User Provided,Dynamic,Driver Profile,,Residence,Pune,Business,Supports regional risk analysis.
GLOSS-DRVR-000031,Annual Driving Distance,Estimated annual driving distance.,Driver,Profile,User Provided,Dynamic,Driver Profile,,Annual Mileage,12000 km,Business,Supports underwriting.
GLOSS-DRVR-000032,Driving Frequency,Typical frequency with which the driver operates vehicles.,Driver,Profile,User Provided,Dynamic,Driver Profile,,Usage Frequency,Daily,Business,Supports exposure analysis.
GLOSS-DRVR-000033,Driving Experience,Total practical driving experience accumulated by the driver.,Driver,Profile,Derived,Computed,Driver,Licence Issue Date,,7 Years,Derived,Parent concept.
GLOSS-DRVR-000034,Years of Driving Experience,Number of years the driver has legally operated vehicles.,Driver,Derived,Derived,Computed,Driving Experience,Licence Issue Date,,7,Derived,Calculated from licence issue date.
GLOSS-DRVR-000035,Driving Experience Level,Categorized driving experience.,Driver,Classification,Derived,Computed,Driving Experience,Years of Driving Experience,,Experienced,Derived,Supports underwriting.
GLOSS-DRVR-000036,Primary Vehicle Usage,Primary purpose for which the driver uses the vehicle.,Driver,Classification,User Provided,Dynamic,Driving Experience,,Vehicle Usage,Personal,Business,Supports policy selection.
GLOSS-DRVR-000037,Night Driving Frequency,Frequency of driving during nighttime.,Driver,Profile,User Provided,Dynamic,Driving Experience,,Night Driving,Occasional,Business,Risk indicator.
GLOSS-DRVR-000038,Highway Driving Frequency,Frequency of highway driving.,Driver,Profile,User Provided,Dynamic,Driving Experience,,Highway Usage,Frequent,Business,Risk indicator.
GLOSS-DRVR-000039,Urban Driving Frequency,Frequency of urban driving.,Driver,Profile,User Provided,Dynamic,Driving Experience,,City Driving,Daily,Business,Risk indicator.
GLOSS-DRVR-000040,Rural Driving Frequency,Frequency of rural driving.,Driver,Profile,User Provided,Dynamic,Driving Experience,,Rural Driving,Rare,Business,Risk indicator.
GLOSS-DRVR-000041,International Driving Experience,Indicates whether the driver has international driving experience.,Driver,Profile,User Provided,Dynamic,Driving Experience,,International Driving,False,Business,Optional.
GLOSS-DRVR-000042,Professional Driving Experience,Indicates whether the driver has professional driving experience.,Driver,Profile,User Provided,Dynamic,Driving Experience,,Professional Driver,False,Business,Supports commercial insurance.
GLOSS-DRVR-000043,Driving History,Historical record of the driver's driving activities and events.,Driver,Operational,Core,Dynamic,Driver,,Driving Record,Good Driving History,Business,Parent business concept.
GLOSS-DRVR-000044,Accident History,Record of accidents involving the driver.,Driver,Operational,Derived,Dynamic,Driving History,,Accident Record,1 Accident,Business,Supports underwriting.
GLOSS-DRVR-000045,Number of Accidents,Total number of recorded accidents involving the driver.,Driver,Derived,Derived,Computed,Accident History,Accident Records,,1,Derived,Calculated from accident history.
GLOSS-DRVR-000046,Fault Accident Count,Number of accidents where the driver was determined to be at fault.,Driver,Risk,Derived,Computed,Accident History,Accident Records,,0,Derived,Supports risk assessment.
GLOSS-DRVR-000047,Non-fault Accident Count,Number of accidents where another party was at fault.,Driver,Risk,Derived,Computed,Accident History,Accident Records,,1,Derived,Supports claims analysis.
GLOSS-DRVR-000048,Traffic Violation History,Historical record of traffic violations committed by the driver.,Driver,Operational,Derived,Dynamic,Driving History,,Violation Record,Minor Speeding,Business,Parent business concept.
GLOSS-DRVR-000049,Traffic Violation Count,Total number of recorded traffic violations.,Driver,Derived,Derived,Computed,Traffic Violation History,Violation Records,,2,Derived,Supports underwriting.
GLOSS-DRVR-000050,Traffic Violation Type,Category of traffic violation committed by the driver.,Driver,Classification,Reference,Dynamic,Traffic Violation History,,Violation Category,Speeding,Regulatory,References Traffic Violation Type Master.
GLOSS-DRVR-000051,Claim History,Historical record of insurance claims involving the driver.,Driver,Operational,Reference,Dynamic,Driving History,,Claim Record,No Claims,Insurance,Supports underwriting.
GLOSS-DRVR-000052,No Claim History,Indicates whether the driver has maintained a claim-free driving history.,Driver,Derived,Derived,Computed,Claim History,Claim Records,,True,Derived,Supports premium discounts.
GLOSS-DRVR-000053,Driver Eligibility,Represents whether the driver satisfies business and regulatory requirements for insurance.,Driver,Operational,Derived,Dynamic,Driver,,Eligibility,Eligible,Derived,Parent concept.
GLOSS-DRVR-000054,Licence Eligibility,Represents whether the driver's licence satisfies policy requirements.,Driver,Regulatory,Derived,Dynamic,Driver Eligibility,Driving Licence Verification,,Eligible,Derived,Compliance indicator.
GLOSS-DRVR-000055,Identity Verification Status,Represents whether the driver's identity has been verified.,Driver,Regulatory,Derived,Dynamic,Driver Eligibility,Driving Licence Verification,,Verified,Derived,Compliance indicator.
GLOSS-DRVR-000056,Driving Qualification Status,Represents whether the driver satisfies required driving qualifications.,Driver,Operational,Derived,Dynamic,Driver Eligibility,Driving Experience,,Qualified,Derived,Business rule output.
GLOSS-DRVR-000057,Regulatory Compliance Status,Represents whether regulatory obligations applicable to the driver have been satisfied.,Driver,Regulatory,Derived,Dynamic,Driver Eligibility,Identity Verification Status,,Compliant,Derived,Supports compliance.
GLOSS-DRVR-000058,Driver Verification Score,A composite score representing the completeness and reliability of driver verification.,Driver,Risk,AI Generated,Computed,Driver Eligibility,Identity Verification Status;Licence Verification,,97,AI,Supports trust assessment.
GLOSS-DRVR-000059,Driver Onboarding Status,Represents the driver's onboarding progress.,Driver,Operational,Derived,Dynamic,Driver Eligibility,Driver Verification Score,,Completed,Derived,Supports workflow.
GLOSS-DRVR-000060,Insurance Eligibility,Represents whether the driver satisfies insurance underwriting requirements.,Driver,Operational,Derived,Dynamic,Driver Eligibility,Driving Qualification Status,,Eligible,Derived,Supports policy recommendation.
GLOSS-DRVR-000061,Driver Assessment,Business assessment summarizing the driver's overall insurance profile.,Driver,Operational,AI Generated,Computed,Driver,,Driver Evaluation,Preferred Driver,AI,Parent concept.
GLOSS-DRVR-000062,Driver Risk Score,A composite score representing the driver's insurance risk.,Driver,Risk,AI Generated,Computed,Driver Assessment,Driving History;Driving Experience,,74,AI,Primary underwriting input.
GLOSS-DRVR-000063,Fraud Risk Score,Predicted likelihood of fraudulent driver behavior.,Driver,Risk,AI Generated,Computed,Driver Assessment,Driving History,,Low,AI,Supports fraud analytics.
GLOSS-DRVR-000064,Safe Driving Score,A score representing the driver's safe driving performance.,Driver,Risk,AI Generated,Computed,Driver Assessment,Driving History;Traffic Violations,,91,AI,Supports pricing.
GLOSS-DRVR-000065,Driver Trust Score,A composite trust score assigned to the driver.,Driver,Risk,AI Generated,Computed,Driver Assessment,Driver Verification Score,,94,AI,Supports underwriting.
GLOSS-DRVR-000066,Risk Category,Categorized insurance risk associated with the driver.,Driver,Classification,Derived,Computed,Driver Assessment,Driver Risk Score,,Low Risk,Derived,Supports underwriting.
GLOSS-DRVR-000067,Premium Impact,Represents the effect of the driver's profile on insurance premium calculation.,Driver,Financial,Derived,Computed,Driver Assessment,Driver Risk Score,,Reduced Premium,Derived,Recommendation input.
GLOSS-DRVR-000068,Recommendation Readiness,Represents whether sufficient information exists to generate reliable insurance recommendations.,Driver,Operational,Derived,Computed,Driver Assessment,Insurance Eligibility,,Ready,Derived,AI workflow trigger.
GLOSS-DRVR-000069,Assessment Date,Date on which the driver assessment was generated.,Driver,Operational,Core,Dynamic,Driver Assessment,,Assessment Timestamp,2026-07-01,Business,Assessment metadata.
GLOSS-DRVR-000070,Assessment Version,Version of the assessment methodology used to generate the driver's assessment.,Driver,Operational,Core,Stable,Driver Assessment,,Assessment Model,1.0.0,Platform,Supports reproducibility.

