schema_id,entity_id,attribute_name,business_definition,data_type,required,derived,derived_from,default_value,validation_rule,reference_catalog,collection_source,privacy_class,example_value,ai_importance,remarks
SCH-DRVR-000044,ENT-DRVR-000005,no_claim_history,Indicates whether the driver has maintained a claim-free history.,Boolean,Yes,Yes,claim_history_indicator,,Domain Constraint,,Derived,Internal,True,High,
SCH-DRVR-000045,ENT-DRVR-000005,last_accident_date,Date of the most recent recorded accident.,Date,No,No,,,ISO Date,,Insurance Company,Internal,2022-11-18,Medium,
SCH-DRVR-000046,ENT-DRVR-000005,last_claim_date,Date of the most recent insurance claim.,Date,No,No,,,ISO Date,,Insurance Company,Internal,2022-12-04,Medium,
SCH-DRVR-000047,ENT-DRVR-000005,claim_count,Total number of historical insurance claims.,Integer,Yes,Yes,claim_history,,Non-negative Number,,Derived,Internal,0,High,
SCH-DRVR-000048,ENT-DRVR-000005,driving_history_summary,Overall summary of the driver's historical driving record.,String,No,Yes,number_of_accidents;traffic_violation_count;claim_count,,Domain Constraint,,Derived,Internal,Low Risk Driving History,Medium,
SCH-DRVR-000049,ENT-DRVR-000006,licence_eligibility,Indicates whether the driving licence satisfies policy and regulatory requirements.,Boolean,Yes,Yes,driving_licence_verification,,Domain Constraint,,Derived,Internal,True,Critical,
SCH-DRVR-000050,ENT-DRVR-000006,identity_verification_status,Represents the verification status of the driver's identity.,Boolean,Yes,Yes,driver_verification_status,,Domain Constraint,,Derived,Internal,True,Critical,
SCH-DRVR-000051,ENT-DRVR-000006,driving_qualification_status,Indicates whether the driver satisfies minimum driving qualification requirements.,Boolean,Yes,Yes,years_of_driving_experience;driving_licence_status,,Domain Constraint,,Derived,Internal,True,High,
SCH-DRVR-000052,ENT-DRVR-000006,regulatory_compliance_status,Represents whether all applicable regulatory requirements have been satisfied.,Boolean,Yes,Yes,licence_eligibility;identity_verification_status,,Domain Constraint,,Derived,Internal,True,Critical,
SCH-DRVR-000053,ENT-DRVR-000006,driver_verification_score,Composite score representing the completeness and reliability of driver verification.,Decimal,Yes,Yes,identity_verification_status;driving_licence_verification,,Value Range,,AI Generated,Internal,97.30,High,
SCH-DRVR-000054,ENT-DRVR-000006,driver_onboarding_status,Current onboarding stage of the driver.,Enumeration,Yes,Yes,driver_verification_score,,Reference Integrity,Workflow Status Master,Derived,Internal,Completed,Medium,
SCH-DRVR-000055,ENT-DRVR-000006,insurance_eligibility,Indicates whether the driver satisfies insurance underwriting requirements.,Boolean,Yes,Yes,driving_qualification_status;regulatory_compliance_status,,Domain Constraint,,Derived,Internal,True,Critical,
SCH-DRVR-000056,ENT-DRVR-000007,driver_risk_score,Composite insurance risk score assigned to the driver.,Decimal,Yes,Yes,number_of_accidents;traffic_violation_count;claim_count,,Value Range,,AI Generated,Internal,74.60,Critical,
SCH-DRVR-000057,ENT-DRVR-000007,fraud_risk_score,Predicted likelihood of fraudulent driver behaviour.,Decimal,No,Yes,driving_history_summary,,Value Range,,AI Generated,Confidential,11.20,High,
SCH-DRVR-000058,ENT-DRVR-000007,safe_driving_score,Composite score representing safe driving behaviour.,Decimal,Yes,Yes,number_of_accidents;traffic_violation_count,,Value Range,,AI Generated,Internal,91.50,High,
SCH-DRVR-000059,ENT-DRVR-000007,driver_trust_score,Composite trust score assigned to the driver.,Decimal,Yes,Yes,driver_verification_score,,Value Range,,AI Generated,Internal,94.10,High,
SCH-DRVR-000060,ENT-DRVR-000007,risk_category,Categorized insurance risk associated with the driver.,Enumeration,Yes,Yes,driver_risk_score,,Reference Integrity,Score Band Master,Derived,Internal,Low Risk,High,
SCH-DRVR-000061,ENT-DRVR-000007,premium_impact,Represents the effect of the driver's profile on insurance premium calculation.,String,Yes,Yes,driver_risk_score,,Domain Constraint,,Derived,Internal,Reduced Premium,High,
SCH-DRVR-000062,ENT-DRVR-000007,recommendation_readiness,Indicates whether sufficient information exists to generate reliable insurance recommendations.,Boolean,Yes,Yes,insurance_eligibility;driver_risk_score,,Domain Constraint,,Derived,Internal,True,Critical,
SCH-DRVR-000063,ENT-DRVR-000007,assessment_date,Date and time at which the latest driver assessment was generated.,DateTime,Yes,Yes,assessment_pipeline,,ISO DateTime,,Internal System,Internal,2026-07-01T10:30:00,Low,
SCH-DRVR-000064,ENT-DRVR-000007,assessment_version,Version of the assessment methodology used to generate the driver assessment.,String,Yes,No,,,Required,,Internal System,Internal,1.0.0,Low,
SCH-DRVR-000065,ENT-DRVR-000007,recommendation_confidence,Confidence score associated with the generated recommendation.,Decimal,Yes,Yes,recommendation_engine,,Percentage Range,,AI Generated,Internal,95.40,High,
SCH-DRVR-000066,ENT-DRVR-000007,next_best_action,Recommended next business action for the driver.,String,No,Yes,recommendation_engine,,Domain Constraint,,AI Generated,Internal,Eligible for Comprehensive Cover,Medium,
SCH-DRVR-000067,ENT-DRVR-000007,assessment_remarks,Additional remarks associated with the latest driver assessment.,String,No,No,,,,,Internal System,Internal,Experienced low-risk driver.,Low,
SCH-DRVR-000068,ENT-DRVR-000007,preferred_underwriting_band,Recommended underwriting band assigned to the driver.,Enumeration,Yes,Yes,driver_risk_score;safe_driving_score,,Reference Integrity,Score Band Master,AI Generated,Internal,Preferred,High,
SCH-DRVR-000069,ENT-DRVR-000007,risk_assessment_timestamp,Timestamp representing the most recent successful risk assessment execution.,DateTime,Yes,Yes,assessment_pipeline,,ISO DateTime,,Internal System,Internal,2026-07-01T10:30:00,Low,
SCH-DRVR-000070,ENT-DRVR-000007,assessment_status,Current execution status of the driver's assessment.,Enumeration,Yes,Yes,assessment_pipeline,,Reference Integrity,Workflow Status Master,Derived,Internal,Completed,Medium,
