policy_id,insurer_code,insurer_name_synthetic,product_name,line_of_business,product_family,coverage_type,base_rate_pct,fixed_fee_rs,premium_multiplier,own_damage_cover,third_party_cover,zero_dep,engine_protect,roadside_assistance,consumables_cover,return_to_invoice,ncb_protect,passenger_cover,personal_accident_cover,ev_battery_cover,telematics_required,low_mileage_discount_pct,target_vehicle_age_max,target_mileage_max,ev_only,cashless_garage_score,claim_support_score,digital_servicing_score,service_score,best_for,exclusion_tags,plain_language_pitch,provenance
INS_C_TP_BASIC,INS_C,ClaimEase,ClaimEase ThirdParty Basic,motor,TP_BASIC,third_party_only,0.0075,2200,1.092,False,True,False,False,False,False,False,False,False,True,False,False,0,15,,False,95,83,77,86,Ultra-budget and mandatory third-party cover only,"Own damage not covered,No zero dep,No engine protect",Lowest premium option focused on statutory third-party cover.,synthetic_report_informed
INS_C_COMP_VALUE,INS_C,ClaimEase,ClaimEase Comprehensive Value,motor,COMP_VALUE,comprehensive,0.0125,2600,1.044,True,True,False,False,False,False,False,False,True,True,False,False,0,15,,False,91,85,82,88,Balanced price-sensitive users wanting own-damage cover,"Depreciation applies,Consumables excluded,Engine damage due to water ingress excluded",Base comprehensive plan with standard own-damage and liability protection.,synthetic_report_informed
INS_C_COMP_SMART,INS_C,ClaimEase,ClaimEase Comprehensive Smart,motor,COMP_SMART,comprehensive,0.0145,3000,1.05,True,True,False,False,True,False,False,True,True,True,False,False,0,12,,False,87,84,77,87,Daily commuters needing a stronger service layer,"Depreciation applies,Consumables excluded,Engine protect not included",Service-oriented comprehensive cover with roadside support and better claim convenience.,synthetic_report_informed
INS_C_ZERO_DEP_PLUS,INS_C,ClaimEase,ClaimEase ZeroDep Plus,motor,ZERO_DEP_PLUS,comprehensive_plus,0.0175,3600,1.115,True,True,True,True,True,True,True,True,True,True,False,False,0,5,,False,92,88,80,89,"Newer cars, financed cars and users prioritising low out-of-pocket claims","Usually not available for older cars,Mechanical breakdown excluded,Illegal use excluded",High-protection plan designed for newer vehicles and lower claim deductions.,synthetic_report_informed
INS_C_PAYD_FLEX,INS_C,ClaimEase,ClaimEase PayAsYouDrive Flex,motor,PAYD_FLEX,usage_based_comprehensive,0.013,2550,1.055,True,True,True,False,True,False,False,False,True,True,False,True,20,6,12000.0,False,92,83,77,86,Low-mileage digital users willing to share driving data,"Mileage slab limits apply,Telematics opt-in required,Extra mileage may change renewal cost",Usage-based plan that rewards low annual mileage and disciplined driving.,synthetic_report_informed
INS_C_EV_SHIELD,INS_C,ClaimEase,ClaimEase EV Shield,motor,EV_SHIELD,ev_comprehensive,0.0185,3800,1.097,True,True,True,False,True,True,True,True,True,True,True,False,0,8,,True,94,85,76,88,Electric vehicle owners needing battery and charging-equipment aware cover,"Battery conditions apply,Non-approved repairs may be restricted,Accessory limits may apply",EV-focused cover with battery-aware benefits and stronger assistance.,synthetic_report_informed
INS_C_HIGH_MILEAGE_PRO,INS_C,ClaimEase,ClaimEase HighMileage Pro,motor,HIGH_MILEAGE_PRO,comprehensive_plus,0.016,3300,1.055,True,True,False,True,True,False,False,True,True,True,False,False,0,12,,False,95,83,82,86,High-mileage users and frequent highway commuters,"Depreciation applies,Consumables excluded,RTI not included",Mileage-friendly cover with engine and roadside support for heavy use.,synthetic_report_informed
INS_C_FAMILY_CAR_PLUS,INS_C,ClaimEase,ClaimEase FamilyCar Plus,motor,FAMILY_CAR_PLUS,comprehensive_plus,0.0155,3200,1.054,True,True,True,False,True,False,False,True,True,True,False,False,0,7,,False,93,86,80,88,Family cars with moderate mileage and preference for smoother claims,"Engine protect not included,Tyre wear excluded,RTI not included",Balanced family-oriented cover with good service and add-on support.,synthetic_report_informed
INS_D_TP_BASIC,INS_D,DriveWise,DriveWise ThirdParty Basic,motor,TP_BASIC,third_party_only,0.0075,2200,0.966,False,True,False,False,False,False,False,False,False,True,False,False,0,15,,False,84,80,95,78,Ultra-budget and mandatory third-party cover only,"Own damage not covered,No zero dep,No engine protect",Lowest premium option focused on statutory third-party cover.,synthetic_report_informed
INS_D_COMP_VALUE,INS_D,DriveWise,DriveWise Comprehensive Value,motor,COMP_VALUE,comprehensive,0.0125,2600,0.94,True,True,False,False,False,False,False,False,True,True,False,False,0,15,,False,77,79,90,78,Balanced price-sensitive users wanting own-damage cover,"Depreciation applies,Consumables excluded,Engine damage due to water ingress excluded",Base comprehensive plan with standard own-damage and liability protection.,synthetic_report_informed
INS_D_COMP_SMART,INS_D,DriveWise,DriveWise Comprehensive Smart,motor,COMP_SMART,comprehensive,0.0145,3000,0.992,True,True,False,False,True,False,False,True,True,True,False,False,0,12,,False,82,85,89,80,Daily commuters needing a stronger service layer,"Depreciation applies,Consumables excluded,Engine protect not included",Service-oriented comprehensive cover with roadside support and better claim convenience.,synthetic_report_informed
INS_D_ZERO_DEP_PLUS,INS_D,DriveWise,DriveWise ZeroDep Plus,motor,ZERO_DEP_PLUS,comprehensive_plus,0.0175,3600,0.969,True,True,True,True,True,True,True,True,True,True,False,False,0,5,,False,83,83,96,80,"Newer cars, financed cars and users prioritising low out-of-pocket claims","Usually not available for older cars,Mechanical breakdown excluded,Illegal use excluded",High-protection plan designed for newer vehicles and lower claim deductions.,synthetic_report_informed
INS_D_PAYD_FLEX,INS_D,DriveWise,DriveWise PayAsYouDrive Flex,motor,PAYD_FLEX,usage_based_comprehensive,0.013,2550,0.956,True,True,True,False,True,False,False,False,True,True,False,True,20,6,12000.0,False,76,83,89,80,Low-mileage digital users willing to share driving data,"Mileage slab limits apply,Telematics opt-in required,Extra mileage may change renewal cost",Usage-based plan that rewards low annual mileage and disciplined driving.,synthetic_report_informed
INS_D_EV_SHIELD,INS_D,DriveWise,DriveWise EV Shield,motor,EV_SHIELD,ev_comprehensive,0.0185,3800,0.998,True,True,True,False,True,True,True,True,True,True,True,False,0,8,,True,80,83,93,80,Electric vehicle owners needing battery and charging-equipment aware cover,"Battery conditions apply,Non-approved repairs may be restricted,Accessory limits may apply",EV-focused cover with battery-aware benefits and stronger assistance.,synthetic_report_informed
INS_D_HIGH_MILEAGE_PRO,INS_D,DriveWise,DriveWise HighMileage Pro,motor,HIGH_MILEAGE_PRO,comprehensive_plus,0.016,3300,0.942,True,True,False,True,True,False,False,True,True,True,False,False,0,12,,False,78,82,95,79,High-mileage users and frequent highway commuters,"Depreciation applies,Consumables excluded,RTI not included",Mileage-friendly cover with engine and roadside support for heavy use.,synthetic_report_informed
INS_D_FAMILY_CAR_PLUS,INS_D,DriveWise,DriveWise FamilyCar Plus,motor,FAMILY_CAR_PLUS,comprehensive_plus,0.0155,3200,0.931,True,True,True,False,True,False,False,True,True,True,False,False,0,7,,False,80,84,96,80,Family cars with moderate mileage and preference for smoother claims,"Engine protect not included,Tyre wear excluded,RTI not included",Balanced family-oriented cover with good service and add-on support.,synthetic_report_informed
INS_E_TP_BASIC,INS_E,UrbanShield,UrbanShield ThirdParty Basic,motor,TP_BASIC,third_party_only,0.0075,2200,1.078,False,True,False,False,False,False,False,False,False,True,False,False,0,15,,False,82,85,88,83,Ultra-budget and mandatory third-party cover only,"Own damage not covered,No zero dep,No engine protect",Lowest premium option focused on statutory third-party cover.,synthetic_report_informed
INS_E_COMP_VALUE,INS_E,UrbanShield,UrbanShield Comprehensive Value,motor,COMP_VALUE,comprehensive,0.0125,2600,1.086,True,True,False,False,False,False,False,False,True,True,False,False,0,15,,False,84,85,86,83,Balanced price-sensitive users wanting own-damage cover,"Depreciation applies,Consumables excluded,Engine damage due to water ingress excluded",Base comprehensive plan with standard own-damage and liability protection.,synthetic_report_informed
INS_E_COMP_SMART,INS_E,UrbanShield,UrbanShield Comprehensive Smart,motor,COMP_SMART,comprehensive,0.0145,3000,1.037,True,True,False,False,True,False,False,True,True,True,False,False,0,12,,False,89,82,92,82,Daily commuters needing a stronger service layer,"Depreciation applies,Consumables excluded,Engine protect not included",Service-oriented comprehensive cover with roadside support and better claim convenience.,synthetic_report_informed
INS_E_ZERO_DEP_PLUS,INS_E,UrbanShield,UrbanShield ZeroDep Plus,motor,ZERO_DEP_PLUS,comprehensive_plus,0.0175,3600,1.094,True,True,True,True,True,True,True,True,True,True,False,False,0,5,,False,86,85,91,83,"Newer cars, financed cars and users prioritising low out-of-pocket claims","Usually not available for older cars,Mechanical breakdown excluded,Illegal use excluded",High-protection plan designed for newer vehicles and lower claim deductions.,synthetic_report_informed
INS_E_PAYD_FLEX,INS_E,UrbanShield,UrbanShield PayAsYouDrive Flex,motor,PAYD_FLEX,usage_based_comprehensive,0.013,2550,1.0,True,True,True,False,True,False,False,False,True,True,False,True,20,6,12000.0,False,85,83,87,82,Low-mileage digital users willing to share driving data,"Mileage slab limits apply,Telematics opt-in required,Extra mileage may change renewal cost",Usage-based plan that rewards low annual mileage and disciplined driving.,synthetic_report_informed
INS_E_EV_SHIELD,INS_E,UrbanShield,UrbanShield EV Shield,motor,EV_SHIELD,ev_comprehensive,0.0185,3800,1.004,True,True,True,False,True,True,True,True,True,True,True,False,0,8,,True,82,85,85,83,Electric vehicle owners needing battery and charging-equipment aware cover,"Battery conditions apply,Non-approved repairs may be restricted,Accessory limits may apply",EV-focused cover with battery-aware benefits and stronger assistance.,synthetic_report_informed
INS_E_HIGH_MILEAGE_PRO,INS_E,UrbanShield,UrbanShield HighMileage Pro,motor,HIGH_MILEAGE_PRO,comprehensive_plus,0.016,3300,1.074,True,True,False,True,True,False,False,True,True,True,False,False,0,12,,False,82,87,92,84,High-mileage users and frequent highway commuters,"Depreciation applies,Consumables excluded,RTI not included",Mileage-friendly cover with engine and roadside support for heavy use.,synthetic_report_informed
INS_E_FAMILY_CAR_PLUS,INS_E,UrbanShield,UrbanShield FamilyCar Plus,motor,FAMILY_CAR_PLUS,comprehensive_plus,0.0155,3200,1.078,True,True,True,False,True,False,False,True,True,True,False,False,0,7,,False,88,82,92,82,Family cars with moderate mileage and preference for smoother claims,"Engine protect not included,Tyre wear excluded,RTI not included",Balanced family-oriented cover with good service and add-on support.,synthetic_report_informed
INS_F_TP_BASIC,INS_F,TrustMotor,TrustMotor ThirdParty Basic,motor,TP_BASIC,third_party_only,0.0075,2200,0.918,False,True,False,False,False,False,False,False,False,True,False,False,0,15,,False,78,73,70,73,Ultra-budget and mandatory third-party cover only,"Own damage not covered,No zero dep,No engine protect",Lowest premium option focused on statutory third-party cover.,synthetic_report_informed
INS_F_COMP_VALUE,INS_F,TrustMotor,TrustMotor Comprehensive Value,motor,COMP_VALUE,comprehensive,0.0125,2600,0.991,True,True,False,False,False,False,False,False,True,True,False,False,0,15,,False,75,75,71,74,Balanced price-sensitive users wanting own-damage cover,"Depreciation applies,Consumables excluded,Engine damage due to water ingress excluded",Base comprehensive plan with standard own-damage and liability protection.,synthetic_report_informed
INS_F_COMP_SMART,INS_F,TrustMotor,TrustMotor Comprehensive Smart,motor,COMP_SMART,comprehensive,0.0145,3000,0.94,True,True,False,False,True,False,False,True,True,True,False,False,0,12,,False,77,74,74,74,Daily commuters needing a stronger service layer,"Depreciation applies,Consumables excluded,Engine protect not included",Service-oriented comprehensive cover with roadside support and better claim convenience.,synthetic_report_informed
INS_F_ZERO_DEP_PLUS,INS_F,TrustMotor,TrustMotor ZeroDep Plus,motor,ZERO_DEP_PLUS,comprehensive_plus,0.0175,3600,0.988,True,True,True,True,True,True,True,True,True,True,False,False,0,5,,False,73,72,70,72,"Newer cars, financed cars and users prioritising low out-of-pocket claims","Usually not available for older cars,Mechanical breakdown excluded,Illegal use excluded",High-protection plan designed for newer vehicles and lower claim deductions.,synthetic_report_informed
INS_F_PAYD_FLEX,INS_F,TrustMotor,TrustMotor PayAsYouDrive Flex,motor,PAYD_FLEX,usage_based_comprehensive,0.013,2550,0.924,True,True,True,False,True,False,False,False,True,True,False,True,20,6,12000.0,False,72,71,75,72,Low-mileage digital users willing to share driving data,"Mileage slab limits apply,Telematics opt-in required,Extra mileage may change renewal cost",Usage-based plan that rewards low annual mileage and disciplined driving.,synthetic_report_informed
INS_F_EV_SHIELD,INS_F,TrustMotor,TrustMotor EV Shield,motor,EV_SHIELD,ev_comprehensive,0.0185,3800,0.924,True,True,True,False,True,True,True,True,True,True,True,False,0,8,,True,72,70,68,72,Electric vehicle owners needing battery and charging-equipment aware cover,"Battery conditions apply,Non-approved repairs may be restricted,Accessory limits may apply",EV-focused cover with battery-aware benefits and stronger assistance.,synthetic_report_informed
INS_F_HIGH_MILEAGE_PRO,INS_F,TrustMotor,TrustMotor HighMileage Pro,motor,HIGH_MILEAGE_PRO,comprehensive_plus,0.016,3300,0.97,True,True,False,True,True,False,False,True,True,True,False,False,0,12,,False,75,69,68,71,High-mileage users and frequent highway commuters,"Depreciation applies,Consumables excluded,RTI not included",Mileage-friendly cover with engine and roadside support for heavy use.,synthetic_report_informed
INS_F_FAMILY_CAR_PLUS,INS_F,TrustMotor,TrustMotor FamilyCar Plus,motor,FAMILY_CAR_PLUS,comprehensive_plus,0.0155,3200,0.989,True,True,True,False,True,False,False,True,True,True,False,False,0,7,,False,77,75,68,74,Family cars with moderate mileage and preference for smoother claims,"Engine protect not included,Tyre wear excluded,RTI not included",Balanced family-oriented cover with good service and add-on support.,synthetic_report_informed
