glossary_id,canonical_term,business_definition,domain,concept_category,semantic_class,lifecycle,parent_concept,derived_from,aliases,example,source,remarks
GLOSS-CLM-000086,Closure Date,Date of final claim closure.,Claims,Operational,Core,Dynamic,Claim Lifecycle,,Closure Date,2026-08-20,Business,Audit.
GLOSS-CLM-000087,Turnaround Time,Total processing time for the claim.,Claims,Assessment,Derived,Computed,Claim Lifecycle,Registration Date;Closure Date,,8 Days,Derived,KPI.
GLOSS-CLM-000088,SLA Compliance,Indicates whether claim processing met SLA targets.,Claims,Assessment,Derived,Computed,Claim Lifecycle,Turnaround Time,,Compliant,Derived,Performance.
GLOSS-CLM-000089,Lifecycle Summary,Simplified explanation of claim lifecycle.,Claims,Derived,Derived,Computed,Claim Lifecycle,Lifecycle Stage,,Claim settled successfully.,Derived,AI explanation.
GLOSS-CLM-000090,Claim Timeline,Chronological summary of important claim events.,Claims,Derived,Derived,Computed,Claim Lifecycle,Workflow Events,,FNOL → Survey → Settlement → Closure.,Derived,Customer timeline.

GLOSS-CLM-000091,Fraud Assessment,Represents fraud analysis associated with the claim.,Claims,Risk,AI Generated,Computed,Claim,,Fraud Detection,Low Risk,AI,Parent business concept.
GLOSS-CLM-000092,Fraud Risk Score,Composite fraud risk score.,Claims,Risk,AI Generated,Computed,Fraud Assessment,Fraud Engine,,8.5,AI,Primary fraud metric.
GLOSS-CLM-000093,Fraud Risk Level,Classification of fraud risk.,Claims,Risk,AI Generated,Computed,Fraud Assessment,Fraud Risk Score,,Low,AI,Supports investigation.
GLOSS-CLM-000094,Investigation Required,Indicates whether fraud investigation is recommended.,Claims,Operational,AI Generated,Computed,Fraud Assessment,Fraud Engine,,False,AI,Decision support.
GLOSS-CLM-000095,Fraud Indicators,Collection of fraud indicators identified during processing.,Claims,Risk,AI Generated,Computed,Fraud Assessment,Analytics,,None,AI,Supports investigators.
GLOSS-CLM-000096,Claim Assessment,Overall business and AI assessment of the claim.,Claims,Assessment,AI Generated,Computed,Claim,,Claim Intelligence,Approved,AI,Parent business concept.
GLOSS-CLM-000097,Claim Confidence,Confidence associated with the overall claim assessment.,Claims,Assessment,AI Generated,Computed,Claim Assessment,Assessment Engine,,97%,AI,Supports automation.
GLOSS-CLM-000098,Recommendation Summary,Natural-language explanation supporting the claim decision.,Claims,Derived,AI Generated,Computed,Claim Assessment,Recommendation Engine,,Approve claim based on verified coverage and survey.,AI,Explainable AI.
GLOSS-CLM-000099,Assessment Version,Version of the claim assessment methodology.,Claims,Operational,Core,Stable,Claim Assessment,,Assessment Version,1.0.0,Platform,Reproducibility.
GLOSS-CLM-000100,Assessment Summary,Overall explanation of claim processing outcome.,Claims,Derived,Derived,Computed,Claim Assessment,Claim Assessment,,Valid covered claim settled successfully.,Derived,Executive summary.

